time,pos_x,pos_y,pos_z,ori_x,ori_y,ori_z,ori_w
1763027694.079848,0.611598261,0.074417861,0.286957575,0.662697418,0.743076205,0.024062783,0.089949315
1763027694.159934,0.611598233,0.074417842,0.286957488,0.662697440,0.743076205,0.024062685,0.089949187
1763027694.165791,0.611598270,0.074417837,0.286957598,0.662697495,0.743076146,0.024062759,0.089949307
1763027694.171754,0.611598292,0.074417825,0.286957662,0.662697554,0.743076086,0.024062875,0.089949346
1763027694.177595,0.611598221,0.074417882,0.286957546,0.662697428,0.743076205,0.024062730,0.089949237
1763027694.184516,0.611598223,0.074417901,0.286957581,0.662697502,0.743076146,0.024062814,0.089949201
1763027694.190615,0.611598297,0.074417830,0.286957680,0.662697480,0.743076146,0.024062845,0.089949329
1763027694.196626,0.611598201,0.074417881,0.286957579,0.662697566,0.743076086,0.024062818,0.089949245
1763027694.202123,0.611598215,0.074417740,0.286957554,0.662697569,0.743076086,0.024062732,0.089949291
1763027694.208509,0.611598253,0.074417761,0.286957558,0.662697498,0.743076146,0.024062770,0.089949289
1763027694.213911,0.611598254,0.074417816,0.286957603,0.662697422,0.743076205,0.024062768,0.089949274
1763027694.219834,0.611598285,0.074417902,0.286957644,0.662697491,0.743076146,0.024062834,0.089949305
1763027694.263739,0.611598280,0.074417821,0.286957518,0.662697427,0.743076205,0.024062759,0.089949286
1763027694.269720,0.611598224,0.074417883,0.286957583,0.662697425,0.743076205,0.024062756,0.089949252
1763027694.275514,0.611598240,0.074417770,0.286957591,0.662697645,0.743076026,0.024062793,0.089949237
1763027694.281039,0.611598221,0.074417882,0.286957546,0.662697505,0.743076146,0.024062740,0.089949233
1763027694.287843,0.611598271,0.074417827,0.286957641,0.662697487,0.743076146,0.024062869,0.089949304
1763027694.294015,0.611598242,0.074417885,0.286957621,0.662697489,0.743076146,0.024062832,0.089949306
1763027694.299841,0.611598262,0.074417759,0.286957613,0.662697492,0.743076146,0.024062749,0.089949308
1763027694.305812,0.611598253,0.074417824,0.286957489,0.662697421,0.743076205,0.024062738,0.089949325
1763027694.345585,0.611598257,0.074417768,0.286957647,0.662697500,0.743076146,0.024062781,0.089949274
1763027694.351834,0.611598247,0.074417828,0.286957583,0.662697500,0.743076146,0.024062848,0.089949242
1763027694.357564,0.611598258,0.074417830,0.286957507,0.662697424,0.743076205,0.024062718,0.089949303
1763027694.363562,0.611598251,0.074417815,0.286957567,0.662697492,0.743076146,0.024062748,0.089949261
1763027694.369093,0.611598252,0.074417936,0.286957563,0.662697429,0.743076205,0.024062861,0.089949226
1763027694.374974,0.611598258,0.074417896,0.286957622,0.662697421,0.743076205,0.024062780,0.089949269
1763027694.380641,0.611598190,0.074417738,0.286957514,0.662697509,0.743076146,0.024062634,0.089949215
1763027694.386571,0.611598181,0.074417811,0.286957514,0.662697441,0.743076205,0.024062639,0.089949211
1763027694.391930,0.611598224,0.074417892,0.286957582,0.662697432,0.743076205,0.024062783,0.089949224
1763027694.398048,0.611598189,0.074417868,0.286957435,0.662697433,0.743076205,0.024062676,0.089949212
1763027694.403755,0.611598259,0.074417899,0.286957605,0.662697422,0.743076205,0.024062848,0.089949285
1763027694.447605,0.611598190,0.074417793,0.286957559,0.662697567,0.743076086,0.024062760,0.089949253
1763027694.453581,0.611598262,0.074417759,0.286957613,0.662697492,0.743076146,0.024062749,0.089949308
1763027694.459859,0.611598240,0.074417926,0.286957603,0.662697417,0.743076205,0.024062782,0.089949273
1763027694.465821,0.611598246,0.074417862,0.286957560,0.662697581,0.743076086,0.024062825,0.089949185
1763027694.471892,0.611598237,0.074417813,0.286957493,0.662697441,0.743076205,0.024062673,0.089949204
1763027694.477600,0.611598273,0.074417759,0.286957580,0.662697560,0.743076086,0.024062774,0.089949334
1763027694.515146,0.611598267,0.074417757,0.286957507,0.662697569,0.743076086,0.024062724,0.089949303
1763027694.521830,0.611598515,0.074417091,0.286958084,0.662697842,0.743075728,0.024062810,0.089949984
1763027694.527724,0.611598453,0.074417029,0.286958129,0.662697850,0.743075728,0.024062748,0.089949953
1763027694.533710,0.611598447,0.074416932,0.286958133,0.662698064,0.743075550,0.024062734,0.089949973
1763027694.539565,0.611598575,0.074416581,0.286958292,0.662698162,0.743075430,0.024062678,0.089950341
1763027694.545038,0.611598643,0.074416264,0.286958400,0.662698296,0.743075252,0.024062605,0.089950551
1763027694.551671,0.611598633,0.074416059,0.286958430,0.662698440,0.743075132,0.024062416,0.089950577
1763027694.557692,0.611598715,0.074415729,0.286958514,0.662698624,0.743074954,0.024062363,0.089950835
1763027694.563624,0.611598800,0.074415138,0.286958637,0.662698860,0.743074715,0.024062158,0.089951287
1763027694.569531,0.611598942,0.074414207,0.286958919,0.662699384,0.743074179,0.024061857,0.089951855
1763027694.575034,0.611599111,0.074413203,0.286959282,0.662699751,0.743073761,0.024061600,0.089952602
1763027694.580941,0.611599164,0.074412871,0.286959594,0.662699999,0.743073523,0.024061624,0.089952862
1763027694.587758,0.611599147,0.074413151,0.286959704,0.662699850,0.743073642,0.024061839,0.089952812
1763027694.630998,0.611599058,0.074413787,0.286959667,0.662699530,0.743073940,0.024062103,0.089952455
1763027694.636932,0.611598942,0.074414149,0.286959275,0.662699287,0.743074238,0.024061989,0.089952083
1763027694.642931,0.611598989,0.074413794,0.286959250,0.662699576,0.743073940,0.024061798,0.089952199
1763027694.648903,0.611599019,0.074413781,0.286959203,0.662699489,0.743074000,0.024061751,0.089952285
1763027694.654970,0.611598933,0.074413785,0.286959115,0.662699444,0.743074059,0.024061671,0.089952183
1763027694.660926,0.611598974,0.074413797,0.286959156,0.662699504,0.743074000,0.024061722,0.089952223
1763027694.667053,0.611599008,0.074413780,0.286959165,0.662699504,0.743074000,0.024061708,0.089952243
1763027694.672913,0.611599024,0.074413688,0.286959206,0.662699636,0.743073881,0.024061746,0.089952259
1763027694.678772,0.611599036,0.074413484,0.286959208,0.662699631,0.743073881,0.024061655,0.089952360
1763027694.685847,0.611599026,0.074412999,0.286959084,0.662699907,0.743073642,0.024061293,0.089952540
1763027694.691772,0.611599061,0.074412678,0.286959033,0.662700118,0.743073463,0.024061091,0.089952692
1763027694.697715,0.611599051,0.074412705,0.286958955,0.662700049,0.743073523,0.024061044,0.089952648
1763027694.703619,0.611598994,0.074412717,0.286958764,0.662700064,0.743073523,0.024060907,0.089952536
1763027694.709040,0.611598898,0.074412842,0.286958549,0.662700025,0.743073583,0.024060871,0.089952336
1763027694.715637,0.611598865,0.074412918,0.286958531,0.662699902,0.743073702,0.024060812,0.089952239
1763027694.721729,0.611598909,0.074412961,0.286958568,0.662699963,0.743073642,0.024060899,0.089952281
1763027694.727618,0.611598870,0.074412950,0.286958634,0.662699894,0.743073702,0.024060902,0.089952265
1763027694.733077,0.611598928,0.074412978,0.286958892,0.662699938,0.743073642,0.024061131,0.089952370
1763027694.738962,0.611598984,0.074412865,0.286959079,0.662700052,0.743073523,0.024061212,0.089952568
1763027694.784730,0.611599070,0.074412876,0.286959307,0.662699940,0.743073583,0.024061436,0.089952791
1763027694.822861,0.611599043,0.074413402,0.286958998,0.662699698,0.743073821,0.024061459,0.089952420
1763027694.828896,0.611599049,0.074413240,0.286959017,0.662699839,0.743073702,0.024061347,0.089952476
1763027694.834766,0.611599147,0.074412636,0.286959122,0.662700109,0.743073404,0.024061174,0.089952846
1763027694.841042,0.611599367,0.074411701,0.286959458,0.662700461,0.743073046,0.024060954,0.089953515
1763027694.847588,0.611599661,0.074410005,0.286959803,0.662701388,0.743072093,0.024060455,0.089954464
1763027694.852961,0.611599961,0.074407683,0.286960005,0.662702599,0.743070900,0.024059613,0.089955527
1763027694.858971,0.611600304,0.074405371,0.286960490,0.662703836,0.743069708,0.024058865,0.089956860
1763027694.864823,0.611600609,0.074403247,0.286960799,0.662704901,0.743068635,0.024058173,0.089957911
1763027694.870994,0.611600899,0.074400884,0.286961052,0.662706193,0.743067384,0.024057367,0.089958977
1763027694.876967,0.611601040,0.074399849,0.286961228,0.662706723,0.743066847,0.024057049,0.089959490
1763027694.882826,0.611601142,0.074399208,0.286961333,0.662707125,0.743066430,0.024056881,0.089959868
1763027694.889876,0.611601129,0.074399168,0.286961300,0.662707128,0.743066430,0.024056773,0.089959856
1763027694.895705,0.611601104,0.074399292,0.286961355,0.662707063,0.743066490,0.024056821,0.089959788
1763027694.901648,0.611601061,0.074399407,0.286961246,0.662707068,0.743066549,0.024056790,0.089959689
1763027694.940888,0.611600445,0.074402974,0.286960261,0.662705082,0.743068516,0.024057478,0.089957813
1763027694.946681,0.611600477,0.074403209,0.286960340,0.662704998,0.743068576,0.024057618,0.089957898
1763027694.952832,0.611600437,0.074403530,0.286960341,0.662704702,0.743068814,0.024057606,0.089957918
1763027694.958631,0.611600364,0.074403783,0.286960299,0.662704503,0.743068993,0.024057603,0.089957843
1763027694.996110,0.611600353,0.074403931,0.286960371,0.662704413,0.743069112,0.024057662,0.089957876
1763027695.039603,0.611600305,0.074404358,0.286960596,0.662704340,0.743069172,0.024057991,0.089957732
1763027695.045633,0.611600284,0.074404527,0.286960580,0.662704203,0.743069291,0.024058051,0.089957651
1763027695.051594,0.611600319,0.074404591,0.286960719,0.662704128,0.743069351,0.024058151,0.089957696
1763027695.057079,0.611600374,0.074404603,0.286960887,0.662704101,0.743069351,0.024058338,0.089957839
1763027695.062865,0.611600388,0.074404548,0.286960970,0.662704234,0.743069232,0.024058377,0.089957904
1763027695.068703,0.611600410,0.074404693,0.286961072,0.662704151,0.743069291,0.024058480,0.089957916
1763027695.074649,0.611600350,0.074404914,0.286960975,0.662704040,0.743069410,0.024058568,0.089957656
1763027695.081071,0.611600301,0.074405377,0.286960859,0.662703755,0.743069708,0.024058622,0.089957490
1763027695.087947,0.611600223,0.074406049,0.286960781,0.662703336,0.743070066,0.024058851,0.089957324
1763027695.095728,0.611600143,0.074406671,0.286960676,0.662702996,0.743070424,0.024058923,0.089957084
1763027695.101715,0.611599891,0.074408452,0.286960434,0.662702124,0.743071258,0.024059336,0.089956357
1763027695.107825,0.611599724,0.074409793,0.286960400,0.662701195,0.743072093,0.024059536,0.089956146
1763027695.113536,0.611599490,0.074411466,0.286960260,0.662700331,0.743072927,0.024059798,0.089955782
1763027695.119609,0.611599324,0.074412958,0.286960283,0.662699459,0.743073702,0.024060081,0.089955666
1763027695.125004,0.611599140,0.074414440,0.286960176,0.662698544,0.743074536,0.024060260,0.089955354
1763027695.130986,0.611598800,0.074417204,0.286960196,0.662696888,0.743076026,0.024060459,0.089955399
1763027695.136705,0.611598380,0.074420683,0.286960198,0.662694838,0.743077874,0.024060671,0.089955217
1763027695.142836,0.611597985,0.074423960,0.286960219,0.662692703,0.743079722,0.024060923,0.089955251
1763027695.148722,0.611597637,0.074426596,0.286960179,0.662691208,0.743081093,0.024061145,0.089955188
1763027695.192643,0.611597906,0.074424739,0.286960405,0.662692214,0.743080139,0.024060911,0.089955548
1763027695.198614,0.611597915,0.074424167,0.286960320,0.662692595,0.743079841,0.024060767,0.089955450
1763027695.204533,0.611597995,0.074423792,0.286960364,0.662692816,0.743079603,0.024060892,0.089955515
1763027695.209978,0.611598093,0.074423189,0.286960366,0.662693390,0.743079126,0.024060864,0.089955493
1763027695.216022,0.611598296,0.074421385,0.286960285,0.662694230,0.743078351,0.024060584,0.089955510
1763027695.221790,0.611598523,0.074419733,0.286960276,0.662695323,0.743077397,0.024060568,0.089955487
1763027695.227829,0.611598701,0.074418057,0.286960112,0.662696317,0.743076503,0.024060433,0.089955348
1763027695.233844,0.611598875,0.074416220,0.286960069,0.662697501,0.743075490,0.024060261,0.089955304
1763027695.239810,0.611599087,0.074414652,0.286960083,0.662698408,0.743074656,0.024060202,0.089955301
1763027695.245603,0.611599262,0.074413364,0.286960085,0.662699146,0.743074000,0.024060115,0.089955326
1763027695.251677,0.611599311,0.074412736,0.286960019,0.662699676,0.743073583,0.024060041,0.089955174
1763027695.257121,0.611599378,0.074412470,0.286960042,0.662699821,0.743073404,0.024060291,0.089955184
