time,iiwa_joint_1,iiwa_joint_2,iiwa_joint_3,iiwa_joint_4,iiwa_joint_5,iiwa_joint_6,iiwa_joint_7
1763027694.156018,0.327754885,0.749568164,-0.280351400,-1.441713572,0.115927145,0.817933619,1.518474698
1763027694.162046,0.327754766,0.749567926,-0.280351400,-1.441713810,0.115927242,0.817933619,1.518474698
1763027694.167915,0.327754766,0.749567986,-0.280351281,-1.441713810,0.115927242,0.817933619,1.518474698
1763027694.173938,0.327754885,0.749568164,-0.280351281,-1.441713572,0.115927242,0.817933619,1.518474698
1763027694.179709,0.327754766,0.749567986,-0.280351281,-1.441713572,0.115927145,0.817933738,1.518474936
1763027694.186722,0.327754885,0.749568164,-0.280351281,-1.441713691,0.115927145,0.817933738,1.518474936
1763027694.192698,0.327754885,0.749568164,-0.280351281,-1.441713810,0.115927242,0.817933619,1.518474698
1763027694.198624,0.327754885,0.749568045,-0.280351281,-1.441713572,0.115927145,0.817933619,1.518474698
1763027694.204592,0.327754766,0.749567986,-0.280351281,-1.441713452,0.115927145,0.817933738,1.518474698
1763027694.210631,0.327754766,0.749568164,-0.280351400,-1.441713572,0.115927145,0.817933619,1.518474698
1763027694.215972,0.327754766,0.749567986,-0.280351400,-1.441713691,0.115927435,0.817933619,1.518474817
1763027694.260064,0.327754766,0.749567986,-0.280351281,-1.441713691,0.115927145,0.817933500,1.518474698
1763027694.265974,0.327754766,0.749568045,-0.280351281,-1.441713810,0.115927145,0.817933738,1.518474698
1763027694.271776,0.327754885,0.749567986,-0.280351400,-1.441713572,0.115927145,0.817933619,1.518474936
1763027694.277695,0.327754766,0.749568045,-0.280351400,-1.441713572,0.115927145,0.817933798,1.518474698
1763027694.283080,0.327754766,0.749568045,-0.280351281,-1.441713572,0.115927145,0.817933738,1.518474698
1763027694.290711,0.327754885,0.749568045,-0.280351222,-1.441713691,0.115927145,0.817933619,1.518474936
1763027694.296042,0.327754885,0.749567986,-0.280351400,-1.441713572,0.115927339,0.817933798,1.518474698
1763027694.302606,0.327754766,0.749567986,-0.280351400,-1.441713572,0.115927145,0.817933917,1.518474698
1763027694.307870,0.327754766,0.749568045,-0.280351400,-1.441713572,0.115927145,0.817933738,1.518474698
1763027694.347973,0.327754766,0.749567986,-0.280351400,-1.441713691,0.115927145,0.817933619,1.518474936
1763027694.353963,0.327754766,0.749568045,-0.280351281,-1.441713572,0.115927145,0.817933738,1.518474698
